mode;threads;size;k;result;time
1;4;268435456;1234;2147473884;4.126324
2;4;268435456;1234;2147473884;1.553374
1;6;268435452;1234;2147473869;5.608371
2;6;268435452;1234;2147473869;3.351410
1;8;268435456;1234;2147473815;2.389030
2;8;268435456;1234;2147473815;2.937502
1;2;268435456;1234;2147473755;1.990954
2;2;268435456;1234;2147473755;3.943581
1;4;268435456;1234;2147473223;5.772171
2;4;268435456;1234;2147473223;2.715496
1;6;268435452;1234;2147473280;4.948376
2;6;268435452;1234;2147473280;1.611217
1;8;268435456;1234;2147473726;11.075958
2;8;268435456;1234;2147473726;5.690193
1;2;268435456;1234;2147473477;1.391963
2;2;268435456;1234;2147473477;1.589608
1;4;268435456;1234;2147473920;3.979255
2;4;268435456;1234;2147473920;4.168683
1;6;268435452;1234;2147473484;4.047576
2;6;268435452;1234;2147473484;1.849366
1;8;268435456;1234;2147473479;3.983536
2;8;268435456;1234;2147473479;6.959788
1;4;468435456;1234;2147477953;3.366065
2;4;468435456;1234;2147477953;4.199008
1;4;1000;1234;2008608;0.000020
1;4;2000;1234;803788589;0.000052
2;4;2000;1234;803788589;0.001380
